ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Burnout_Symptoms,Location
1,25,Other,Married,Intern,3.8,18929,31,2.3,Partial,Low,None,Medium,Engineering,6.2,3,Yes,Low,High,6,High,Low,Low,Poor,31,Yes,No,No,Rarely,Mumbai
2,33,Female,Married,Analyst,4.4,50077,42,1.3,Partial,Low,None,Large,Operations,5.5,5,Yes,Medium,High,18,Medium,Medium,High,Good,29,Yes,Yes,No,Sometimes,Kolkata
3,39,Other,Single,Manager,2.9,212002,51,0.6,No,Medium,None,Large,Operations,5,5,Yes,Low,Medium,10,High,Low,Medium,Excellent,15,Yes,No,Yes,Often,Kolkata
4,24,Other,Married,Developer,3.7,96890,47,0.6,No,Medium,Migraine,Small,Engineering,5.5,5,Yes,Medium,Medium,20,Low,Low,Medium,Poor,41,Yes,Yes,No,Sometimes,Hyderabad
5,29,Female,Married,Analyst,1.6,54905,43,0.5,Partial,Medium,None,Medium,Engineering,6.5,5,Yes,Medium,High,5,Medium,High,Medium,Poor,27,Yes,No,Yes,Sometimes,Kolkata
6,28,Female,Single,Designer,7.5,54855,43,1.6,Partial,Medium,None,Large,HR,5,4,No,High,Medium,16,Low,Medium,Medium,Poor,27,Yes,No,Yes,Rarely,Bangalore
7,39,Male,Single,Manager,12.6,235828,55,2.3,Yes,High,Back Pain,Large,Engineering,5,3,No,High,High,12,High,Medium,Medium,Average,46,No,Yes,No,Often,Bangalore
8,58,Female,Married,CEO,26.8,552567,60,2.2,Yes,High,Arthritis,Small,Operations,5,1,Yes,High,Medium,8,Low,Low,Low,Poor,30,Yes,No,Yes,Often,Delhi
9,20,Other,Divorced,Intern,0.4,19165,32,2.9,Partial,Medium,None,Medium,Marketing,6,4,Yes,Medium,Medium,9,Medium,Low,High,Good,14,No,No,No,Rarely,Bangalore
10,55,Other,Single,CEO,22.8,522839,63,2.1,Partial,High,Hypertension,Small,Operations,5,1,Yes,Medium,Medium,15,High,High,Medium,Excellent,10,Yes,No,Yes,Often,Delhi
11,28,Other,Married,Designer,1.9,53559,40,0.5,Partial,Low,None,Small,Operations,6.2,5,Yes,High,High,17,Medium,Medium,Medium,Poor,35,No,No,No,Rarely,Pune
12,26,Male,Married,Designer,1.6,47000,44,1.8,Partial,Low,Migraine,Medium,Engineering,5,5,Yes,High,High,13,High,Medium,Medium,Average,33,Yes,No,No,Rarely,Bangalore
13,22,Other,Single,Developer,1.6,103427,46,0.7,Partial,Low,None,Small,Marketing,5.5,5,No,High,Medium,11,High,Low,Medium,Average,26,Yes,Yes,Yes,Sometimes,Hyderabad
14,29,Other,Single,Designer,8.8,47543,46,1,No,Low,Migraine,Small,Engineering,5.5,4,Yes,Low,Medium,5,High,Low,Low,Poor,44,No,No,Yes,Rarely,Hyderabad
15,31,Other,Single,Analyst,4,47107,44,1.5,Partial,Medium,None,Large,Operations,5,5,No,High,High,7,High,Low,High,Average,11,No,No,Yes,Sometimes,Bangalore
16,22,Male,Married,Intern,1.8,17862,28,1.3,Partial,Medium,None,Small,HR,7.5,5,Yes,Low,High,10,Medium,Medium,Medium,Good,21,Yes,No,Yes,Rarely,Kolkata
17,22,Male,Married,Developer,1.6,99115,48,2.8,Yes,Low,None,Medium,Engineering,5,5,Yes,High,Medium,17,High,Medium,Low,Good,15,Yes,No,Yes,Sometimes,Bangalore
